Samples,aSEC Retention Time (min),aSEC % Monomer,CIC Retention Time (min),CIC Dev. Score,HIC Retention Time (min),HIC Dev. Score,BVP-ELISA OD450 (a.u.),BVP-ELISA Dev. Score,AC-SINS Δλmax (nm),AC-SINS Dev. Score,DLS PDI,DLS Dev. Score,Cumulant Radius (nm),Cumulant Radius St Dev,Tonset (ºC),Tonset St Dev,Tm (ºC),Tm St Dev,Tagg (ºC),Tagg St Dev,TRh (ºC),T↑Rh St Dev
Brivekimig1_VHH1,3.7,100,9.25,2,13.35,1,1.952,3,26.45,3,0.41,2,5.22,0.16,57.95,0.81,66.76,0.05,80.75,0.1,76.64,0.18
Brivekimig1_VHH2,3.7,100,9.24,2,13.37,1,0.23,1,27.18,3,0.36,2,4.91,0.14,58.21,0.63,67.04,0.05,81,0.09,77.08,0.27
Brivekimig2_VHH1,3.8,100,9.38,2,16.6,2,3.155,3,7.25,1,0.09,1,4.30,0.01,60.76,0.99,69.06,0.03,83.78,0.1,75.82,6.56
Caplacizumab_VHH1,3.8,100,9.33,2,13.34,1,0.22,1,26.61,3,0.62,3,5.62,---,60.89,0.63,69.59,0.08,80.82,0.13,76.89,0.36
Enristomig_VHH1,3.7,100,9.23,2,15.23,2,0.11,1,4.38,1,0.26,1,4.51,0.06,58.4,0.54,65.4,0.22,83.29,0.02,79.89,0.27
Enristomig_VHH2,3.8,100,9.39,2,11.8,1,1.017,2,26.58,3,0.97,3,17.25,0.60,58.02,0.72,65.88,0.69,82.34,1.41,79.06,1.26
Envafolimab_VHH1,3.7,100,9.28,2,14.97,1,1.132,2,6.61,1,0.8,3,11.82,0.98,62.42,0.09,68.43,0.15,77.63,0.19,74.21,0.18
Erfonrilimab_VHH2,3.8,97,9.48,2,20.87,3,3.308,3,5.03,1,0.22,1,4.75,0.02,59.04,0.18,69.33,0,84.05,0.01,81.16,0.09
Gacovetug_VHH1,3.7,100,9.08,2,14.34,1,3.184,3,2.54,1,0.22,1,4.62,0.05,55.65,3.12,64.14,0.18,84.65,0.01,80.83,0.09
Gefurulimab_VHH1,3.9,100,9.67,2,15.5,2,0.238,1,28.59,3,0.89,3,11.72,1.05,55.27,1.17,62.69,0.02,80.94,0.01,77.66,0
Gefurulimab_VHH2,3.8,100,9.53,2,16.24,2,0.085,1,7.44,1,0.23,1,4.69,0.02,54.96,0,62.11,0.08,83.54,0.09,79.89,0.27
Gocatamig2_VHH1,3.8,100,9.7,2,18.74,3,0.291,1,9.43,1,0.73,3,21.05,0.58,63.31,0.99,70.34,0.01,83.81,0.03,80.97,0
Gontivimab_VHH1,3.7,100,9.37,2,19.24,3,1.93,3,6.15,1,0.17,1,4.52,0.04,69.47,4,79.2,10.37,62.43,31.79,68.34,*
Gontivimab_VHH2,3.7,100,9.37,2,19.18,3,0.721,2,5.71,1,0.14,1,4.53,0.04,66.96,0.26,72.13,0.11,60.35,7.98,77.9,1.14
Isecarosmab_VHH1,3.7,100,9.18,2,14.33,1,0.233,1,4.95,1,0.12,1,4.32,0.06,58.46,1.17,67.55,0,82.9,0,79.51,0.27
Isecarosmab_VHH2,3.8,100,9.51,2,17.81,2,0.325,1,6.03,1,0.16,1,4.50,0.04,52.6,0.09,60.06,0.01,83.05,0.05,80.08,0.18
Letolizumab_VHH1,3.7,97.62,9.49,2,16.97,2,1.393,3,9.48,1,0.87,3,18.48,0.82,53.75,0.1,66.63,0.03,85.11,0.02,82.08,0.43
