Samples,aSEC Retention Time (min),aSEC % Monomer,CIC Retention Time (min),CIC Dev. Score,HIC Retention Time (min),HIC Dev. Score,BVP-ELISA OD450 (a.u.),BVP-ELISA Dev. Score,AC-SINS Δλmax (nm),AC-SINS Dev. Score,DLS PDI,DLS Dev. Score,Cumulant Radius (nm),Cumulant Radius St Dev,Total Developability Score (excluding temp),Tonset (ºC),Tonset St Dev,Tm (ºC),Tm St Dev,Tagg (ºC),Tagg St Dev,TRh (ºC),T↑Rh St Dev
Palivizumab,3.42,100,8.6,1,13.41,1,0.323,1,2.25,1,0.01,1,5.15,0.02,5,60.8,0.49,70.53,0,80.41,0,78.98,0.68
Adalimumab,3.43,100,8.82,1,12.44,1,1.554,3,20.04,2,0.01,1,5.27,0.01,8,61.18,0,70.28,0.04,70.11,0.2,69.7,1.76
Motavizumab,3.45,100,8.88,1,14.87,1,1.806,3,11.09,2,0.02,1,5.38,0.04,8,60.88,0.42,69.75,0.15,83.99,0,83.61,0.36
Robatumumab,3.59,100,9.79,2,14.36,1,3.21,3,24.82,2,0.02,1,5.42,0.06,9,61.59,0.97,70.07,0.09,80.01,0.19,79.39,0.18
Atezolizumab,3.57,100,10.68,3,24.92,3,1.069,2,27.53,3,0.06,1,5.64,0.00,12,63.11,1.56,70.74,0.06,79.65,0.18,78.62,0
Cixutumumab,3.47,100,9.8,2,20.21,3,3.062,3,27.12,3,0.09,1,6.18,0.03,12,63.14,0.01,70.56,0.05,74.92,0.01,74.91,0.4
Simtuzumab,3.58,81.89,9.97,2,17.09,2,1.27,2,16.79,2,0.27,2,6.99,0.01,10,62.11,0,69.12,0,69.7,0.07,69.41,0.13
Dacetuzumab,3.44,100,8.7,1,12.29,1,0.427,1,5.24,1,0.17,2,5.71,0.00,6,62.63,0.18,70.51,0.05,72.73,0,72.1,0.72
Cetuximab,3.39,94.46,9,1,15.97,2,0.486,1,13.24,2,0.05,1,5.66,0.01,7,59.12,0.19,69.73,0.01,72.67,0.09,70.75,0.27
Golimumab,3.88,96.33,10.45,3,19.64,3,0.837,2,25.71,3,0.32,3,6.24,0.04,14,61.18,0,70.23,0.06,71.65,0.09,70.5,0.63
Ixekizumab,3.57,100,9.85,2,18.04,3,1.282,2,25.96,3,0.11,2,5.67,0.03,12,60.63,0.03,70.27,0,83.36,0,81.44,0.09
Pembrolizumab,3.96,96.3,10.83,3,18.79,3,3.03,3,25.24,3,0.27,2,5.66,0.13,14,58.71,0,69.71,0.06,71.77,0.19,71.07,0
Brivekimig1_VHH1,3.7,100,9.25,2,13.35,1,1.952,3,26.45,3,0.41,3,5.22,0.16,12,57.95,0.81,66.76,0.05,80.75,0.1,76.64,0.18
Brivekimig1_VHH2,3.7,100,9.24,2,13.37,1,0.23,1,27.18,3,0.36,3,4.91,0.14,10,58.21,0.63,67.04,0.05,81,0.09,77.08,0.27
Brivekimig2_VHH1,3.8,100,9.38,2,16.6,2,3.155,3,7.25,1,0.09,1,4.30,0.01,9,60.76,0.99,69.06,0.03,83.78,0.1,75.82,6.56
Caplacizumab_VHH1,3.8,100,9.33,2,13.34,1,0.22,1,26.61,3,0.62,3,5.62,---,10,60.89,0.63,69.59,0.08,80.82,0.13,76.89,0.36
Enristomig_VHH1,3.7,100,9.23,2,15.23,2,0.11,1,4.38,1,0.26,2,4.51,0.06,8,58.4,0.54,65.4,0.22,83.29,0.02,79.89,0.27
Enristomig_VHH2,3.8,100,9.39,2,11.8,1,1.017,2,26.58,3,0.97,3,17.25,0.60,11,58.02,0.72,65.88,0.69,82.34,1.41,79.06,1.26
Envafolimab_VHH1,3.7,100,9.28,2,14.97,1,1.132,2,6.61,1,0.8,3,11.82,0.98,9,62.42,0.09,68.43,0.15,77.63,0.19,74.21,0.18
Erfonrilimab_VHH2,3.8,97,9.48,2,20.87,3,3.308,3,5.03,1,0.22,2,4.75,0.02,11,59.04,0.18,69.33,0,84.05,0.01,81.16,0.09
Gacovetug_VHH1,3.7,100,9.08,2,14.34,1,3.184,3,2.54,1,0.22,2,4.62,0.05,9,55.65,3.12,64.14,0.18,84.65,0.01,80.83,0.09
Gefurulimab_VHH1,3.9,100,9.67,2,15.5,2,0.238,1,28.59,3,0.89,3,11.72,1.05,11,55.27,1.17,62.69,0.02,80.94,0.01,77.66,0
Gefurulimab_VHH2,3.8,100,9.53,2,16.24,2,0.085,1,7.44,1,0.23,2,4.69,0.02,8,54.96,0,62.11,0.08,83.54,0.09,79.89,0.27
Gocatamig2_VHH1,3.8,100,9.7,2,18.74,3,0.291,1,9.43,1,0.73,3,21.05,0.58,10,63.31,0.99,70.34,0.01,83.81,0.03,80.97,0
Gontivimab_VHH1,3.7,100,9.37,2,19.24,3,1.93,3,6.15,1,0.17,2,4.52,0.04,11,69.47,4,79.2,10.37,62.43,31.79,68.34,*
Gontivimab_VHH2,3.7,100,9.37,2,19.18,3,0.721,2,5.71,1,0.14,2,4.53,0.04,10,66.96,0.26,72.13,0.11,60.35,7.98,77.9,1.14
Isecarosmab_VHH1,3.7,100,9.18,2,14.33,1,0.233,1,4.95,1,0.12,2,4.32,0.06,7,58.46,1.17,67.55,0,82.9,0,79.51,0.27
Isecarosmab_VHH2,3.8,100,9.51,2,17.81,2,0.325,1,6.03,1,0.16,2,4.50,0.04,8,52.6,0.09,60.06,0.01,83.05,0.05,80.08,0.18
Letolizumab_VHH1,3.7,97.62,9.49,2,16.97,2,1.393,3,9.48,1,0.87,3,18.48,0.82,11,53.75,0.1,66.63,0.03,85.11,0.02,82.08,0.43
Lofacimig_VHH1,3.7,97.68,9.31,2,18.9,3,3.274,3,2.92,1,0.1,1,4.52,0.08,10,59.99,0.53,69.81,0.06,85.87,0.03,76.55,0.27
Lofacimig_VHH2,3.5,73.08,8.89,1,19.84,3,2.3,3,1.79,1,0.31,3,17.34,0.01,11,58.73,1.12,68.92,0.08,55.86,44.53,73.12,6.14
Lunsekimig1_VHH1,4,100,10.63,3,17.06,2,3.258,3,27.24,3,0.51,3,19.42,0.34,14,60.12,0.63,67.59,0.27,82.37,0.04,79.06,0
Lunsekimig1_VHH2,3.8,100,9.96,2,16.88,2,3.225,3,15.21,2,0.1,1,4.15,0.01,10,51.13,0.54,59.59,0.05,82.13,0.05,78.42,0.18
Lunsekimig2_VHH1,3.7,100,9.2,2,18.28,3,0.239,1,3.97,1,0.18,2,4.52,0.14,9,58.81,0.18,64.52,0.01,87,0.1,80.57,0.18
Lunsekimig3_VHH1,3.5,100,8.89,1,13.38,1,0.171,1,2.04,1,0.14,2,4.45,0.05,6,61.89,0.37,71.58,0.05,46.66,37.05,76.69,1.7
Ozekibart_VHH1,3.8,100,9.44,2,15.78,2,0.172,1,14.49,2,0.86,3,12.68,2.78,10,59.61,0.27,66.51,0.05,82.76,0.06,80.02,0.27
Ozoralizumab_VHH1,3.8,100,9.69,2,14.04,1,0.274,1,29.78,3,0.08,1,4.12,0.07,8,58.69,0.27,66.49,0.07,82.49,0.07,77.99,0.09
Ozoralizumab_VHH2,3.8,97.9,9.65,2,17.21,2,0.19,1,5.09,1,0.21,2,4.30,0.28,8,54.79,0.18,61.08,0.13,82.9,0.01,79.69,0.04
Podentamig1_VHH1,3.7,100,9.31,2,15.12,2,3.275,3,4.21,1,0.53,3,6.54,0.06,11,57.22,0,64.49,0.01,85.55,4.9,77.8,0.18
Podentamig1_VHH2,3.8,100,9.43,2,17.09,2,0.106,1,18.5,2,0.13,2,4.37,0.13,9,57.99,0.9,65.44,0.13,83.47,1.42,79.01,0.27
Porustobart_VHH1,3.9,100,9.76,2,16.62,2,0.105,1,18.36,2,0.85,3,15.55,1.53,10,56.84,0.72,67.04,0.09,83.62,0.01,79.18,0.64
Produvofusp_VHH1,3.6,100,9.07,2,17.1,2,1.231,2,3.61,1,0.12,2,4.31,0.11,9,47.82,0.88,55.11,0.09,47.64,25.33,76.81,0.95
Rimteravimab_VHH1,3.6,100,9.06,2,16.9,2,0.153,1,3.99,1,0.14,2,4.44,0.09,8,56.88,0.09,65.93,0.06,85.53,0.13,80.61,0.27
Sonelokimab1_VHH1,3.7,100,9.41,2,17.11,2,0.088,1,11.74,2,0.71,3,20.92,0.64,10,57.54,0.99,65.73,0.04,83.71,0.04,80.94,0.78
Sonelokimab2_VHH1,3.7,100,9.55,2,16.38,2,0.833,2,3.23,1,0.05,1,4.25,0.05,8,67.95,0.09,73.89,0.08,55.92,3.91,77.55,0.09
Tarperprumig_VHH1,4,100,9.96,2,16.72,2,0.218,1,30.35,3,0.94,3,17.09,2.33,11,55.62,0.45,61.69,0,80.06,0.15,76.46,0.09
Tarperprumig_VHH2,3.7,100,9.22,2,14.86,1,0.165,1,3.68,1,0.24,2,4.11,0.86,7,54.85,0.09,61.27,0,82.37,1.39,79.4,0.45
Vobarilizumab_VHH1,3.6,100,9.48,2,17.09,2,3.173,3,35.79,3,0.42,3,4.52,0.87,13,59.84,0.09,65.7,0.02,82.57,0.03,78.5,0.45
TB-104-01_VHH,3.8,96.84,9.48,2,16.24,2,0.33,1,9.37,1,0.92,3,15.93,1.02,9,56.71,0.36,66.99,0.11,83.68,0.04,80.51,0.51
